titulo,autores,fonte,ano,citacoes,resumo,link,pdf_url,pdf_local
A prevenção aos riscos ambientais utilizando o Google Earth em classes de Geografia e Ciências do Ensino Fundamental 2:: o caso morro do bumba,"J Tristão - Educação Profissional e Tecnológica em Revista, 2025 - revistas.ifes.edu.br",,2025,0,"… No contexto da Geografia, a globalização, aliada à revolução técnico-científica, possibilitao acesso a um conjunto de ferramentas conhecidas comogeotecnologias, que permitem a …",https://revistas.ifes.edu.br/index.php/ept/article/view/2233,https://revistas.ifes.edu.br/index.php/ept/article/download/2233/1464,/home/lifa/resultados_geo_emi/pdfs/0028_A prevenção aos riscos ambientais utilizando o Google Earth em classes de Geogra.pdf
A Importância dos satélites imageadores no cotidiano dos estudantes: aprendendo com o jogo do trunfo satélites & sensores no contexto escolar,KR Novakoski - 2025 - lume.ufrgs.br,,2025,0,"… espacial e a compreensão dasgeotecnologiasno dia a dia. … com um mundo cada vez maismediado porgeotecnologias. … para turmas doEnsinoMédioIntegrado, especialmente em …",https://lume.ufrgs.br/handle/10183/294643,https://lume.ufrgs.br/bitstream/handle/10183/294643/001289959.pdf?sequence=1,
QUADROS CONCEITUAIS E MÚLTIPLAS LINGUAGENS NO ENSINO DE GEOGRAFIA: PROPOSTA METODOLÓGICA SOBRE AS ÁREAS VERDES URBANAS,"J Moritz,",MFVB Gomes,2025,0,"… A aplicação ocorreu no Instituto Federal do Paraná (IFPR), campus Umuarama, com umaturma de 29 estudantes doEnsinoMédiointegradoà educação profissional e envolveu a …",https://www2.ifrn.edu.br/ojs/index.php/geoconexoes/article/view/18335,https://www2.ifrn.edu.br/ojs/index.php/geoconexoes/article/download/18335/4707,/home/lifa/resultados_geo_emi/pdfs/0043_QUADROS CONCEITUAIS E MÚLTIPLAS LINGUAGENS NO ENSINO DE GEOGRAFIA_ PROPOSTA METO.pdf
"ANÁLISE GEOAMBIENTAL DA BACIA DO BELEZA EM JUSCIMEIRA, MATO GROSSO, BRASIL",J Siqueira,",",2025,0,"… Desde então, acumulou experiência como professora noEnsinoMédioIntegradodo … objetivode desenvolver pesquisas inovadoras que unamgeotecnologias, ensino e impacto social, …",https://periodicos.apps.uern.br/index.php/GEOTemas/article/view/7429,https://periodicos.apps.uern.br/index.php/GEOTemas/article/download/7429/5233,
A formação técnica em agropecuária no IFMG: os casos dos campus “Bambuí” e “São João Evangelista.,VM Oliveira - 2025 - rima.ufrrj.br,,2025,0,"A presente tese tem como foco central realizar uma análise da formação técnica emagropecuária, a partir dos cursos técnicos em Agropecuária do Instituto Federal de Minas Gerais (…",https://rima.ufrrj.br/jspui/handle/20.500.14407/23013,https://rima.ufrrj.br/jspui/bitstream/20.500.14407/23013/1/VICTOR%20MIRANDA%20DE%20OLIVEIRA.pdf,/home/lifa/resultados_geo_emi/pdfs/0087_A formação técnica em agropecuária no IFMG_ os casos dos campus “Bambuí” e “São.pdf
Aprendizagem colaborativa: perspectivas do modelo 3C de sistemas colaborativos na educação profissional em informática,CMC Brito - 2025 - search.proquest.com,,2025,0,"… Oensinomédiointegradoà educação profissional, além de ter o trabalho como princípioeducativo, o toma também como contexto econômicoprodutivo, visando a preparar as …",https://search.proquest.com/openview/f0218d46e9a592faa2a5a2483198cc80/1?pq-origsite=gscholar&cbl=2026366&diss=y,,
Contribuições do mestrado profissional e tecnológico para práticas educacionais com tecnologias: uma revisão sistemática da literatura,"P Florêncio, ALCD Melo,",LPL Mercado,2025,0,… O debate da filosofia crítica da tecnologia noensinomédiointegradoprofissional atravésde … Estratégias pedagógicas nas aulas de língua portuguesa doensinomédiointegradoao …,https://www2.ifrn.edu.br/ojs/index.php/RBEPT/article/view/16808,https://www2.ifrn.edu.br/ojs/index.php/RBEPT/article/download/16808/4555,/home/lifa/resultados_geo_emi/pdfs/0119_Contribuições do mestrado profissional e tecnológico para práticas educacionais.pdf
[CITAÇÃO] [C] O uso das novas tecnologias aplicadas ao ensino da geografia cartográfica nas aulas do ensino médio integrado do Campus de Caxias (MA),HV Carvalho - 2024,,2024,0,,,https://releia.ifsertao-pe.edu.br/jspui/bitstream/123456789/1363/1/O%20USO%20DAS%20NOVAS%20TECNOLOGIAS%20APLICADAS%20AO%20ENSINO%20DA%20GEOGRAFIA%20CARTOGR%C3%81FICA%20NAS%20AULAS%20DO%20ENSINO%20M%C3%89DIO%20INTEGRADO%20DO%20CAMPUS%20DE%20CAXIAS%20%28MA%29.pdf,/home/lifa/resultados_geo_emi/pdfs/0011_[CITAÇÃO] [C] O uso das novas tecnologias aplicadas ao ensino da geografia carto.pdf
[CITAÇÃO] [C] Guia Didático: O uso das novas tecnologias aplicadas ao ensino da geografia cartográfica nas aulas do ensino médio integrado do campus de Caxias …,HV Carvalho - 2024,,2024,0,,,https://releia.ifsertao-pe.edu.br/jspui/bitstream/123456789/1364/1/GUIA%20DID%C3%81TICO%20-%20O%20USO%20DAS%20NOVAS%20TECNOLOGIAS%20APLICADAS%20AO%20ENSINO%20DA%20GEOGRAFIA%20CARTOGR%C3%81FICA%20NAS%20AULAS%20DO%20ENSINO%20M%C3%89DIO%20INTEGRADO%20DO%20CAMPUS%20DE%20CAXIAS%20%28MA%29.pdf,/home/lifa/resultados_geo_emi/pdfs/0012_[CITAÇÃO] [C] Guia Didático_ O uso das novas tecnologias aplicadas ao ensino da.pdf
Índices ambientais como ferramenta de educação ambiental no currículo escolar de uma escola de ensino médio,MHP Vieira - 2024 - repositorio.ufms.br,,2024,0,"… Outros indicadores foram obtidos através do uso degeotecnologiasespecíficas, como … aocurrículo profissional, no âmbito doEnsinoMédiointegradoà educação profissional. Nesse …",https://repositorio.ufms.br/handle/123456789/11544,https://repositorio.ufms.br/bitstream/123456789/11544/1/VIEIRA_MH%202024...pdf,/home/lifa/resultados_geo_emi/pdfs/0052_Índices ambientais como ferramenta de educação ambiental no currículo escolar de.pdf
